Arş.Gör. MEHMET AYTUĞ ORMANCI, Elektronik
Dr.Öğr.Üyesi KORAY GÜRKAN, Biyomedikal
Dr.Öğr.Üyesi TARIK VELİ MUMCU, Kontrol ve Kumanda Sistemleri
Arş.Gör. BURAK CEYLAN, Biyomedikal
Dr.Öğr.Üyesi RANA ORTAÇ KABAOĞLU, Kontrol ve Kumanda Sistemleri
Doç.Dr. ERKAN ATMACA (Ana Bilim Dalı Bşk.), Elektrik Tesisleri
Prof.Dr. MUKDEN UĞUR, Elektrik Tesisleri
Doç.Dr. İBRAHİM GÜNEŞ, Elektrik Tesisleri
Doç. AYSEL ERSOY YILMAZ, Elektrik Tesisleri
Dr.Öğr.Üyesi CENGİZ POLAT UZUNOĞLU, Elektrik Tesisleri
Dr.Öğr.Üyesi BAHATTİN KARAKAYA (Ana Bilim Dalı Bşk.), Telekomünikasyon
Dr.Öğr.Üyesi MAHMUT ÖZTÜRK, Telekomünikasyon
Arş.Gör. FATİH ATALAR, Elektrik Tesisleri
Prof.Dr. FIRAT KAÇAR (Ana Bilim Dalı Bşk.), Elektronik
Doç.Dr. SEFA ÇELİK, Elektronik
Doç. YASİN ÖZÇELEP, Elektronik
Dr.Öğr.Üyesi ABDURRAHİM AKGÜNDOĞDU (Vekil Ana Bilim Dalı Bşk.), Biyomedikal
Arş.Gör. SEDAT KILINÇ, Elektronik
Dr.Öğr.Üyesi NEVRA BAYHAN (Ana Bilim Dalı Bşk.), Kontrol ve Kumanda Sistemleri
Dr.Öğr.Üyesi HASAN TİRYAKİ, Kontrol ve Kumanda Sistemleri
Dr.Öğr.Üyesi RANA ORTAÇ KABAOĞLU, Kontrol ve Kumanda Sistemleri
Arş.Gör. ERTUĞRUL ADIGÜZEL, Elektrik Tesisleri
Arş.Gör. FATİH ADIGÜZEL, Kontrol ve Kumanda Sistemleri
Arş.Gör. HACER KUDUZ, Biyomedikal
Arş.Gör.Dr. OLCAY AKBULUT KURUŞ, Telekomünikasyon
Arş.Gör.Dr. YEŞİM HEKİM TANÇ, Telekomünikasyon
Arş.Gör.Dr. MERVE DOĞRUYOL BAŞAR, Biyomedikal
